STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00229159,"VAN VLEET, MS US",9/19/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/20/1943,,,,,0.79,,,,,
USC00229159,"VAN VLEET, MS US",9/21/1943,,,,,0.02,,,,,
USC00229159,"VAN VLEET, MS US",9/22/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/23/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/24/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/25/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/26/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/27/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/28/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/29/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/30/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/1/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/2/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/3/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/4/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/5/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/6/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/7/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/8/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/9/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/10/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/11/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/12/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/13/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/14/1943,,,,,0.14,,,,,
USC00229159,"VAN VLEET, MS US",10/15/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/16/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/17/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/18/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/19/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/20/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/21/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/22/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/23/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/24/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/25/1943,,,,,0.03,,,,,
USC00229159,"VAN VLEET, MS US",10/26/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/27/1943,,,,,0.02,,,,,
USC00229159,"VAN VLEET, MS US",10/28/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/29/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/30/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",10/31/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/1/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/2/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/3/1943,,,,,0.75,,,,,
USC00229159,"VAN VLEET, MS US",11/4/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/5/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/6/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/7/1943,,,,,2.75,,,,,
USC00229159,"VAN VLEET, MS US",11/8/1943,,,,,0.16,,,,,
USC00229159,"VAN VLEET, MS US",11/9/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/10/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/11/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/12/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/13/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/14/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/15/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/16/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/17/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/18/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/19/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/20/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/21/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/22/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/23/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/24/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/25/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/26/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/27/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/28/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/29/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",11/30/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/1/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/2/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/3/1943,,,,,0.05,,,,,
USC00229159,"VAN VLEET, MS US",12/4/1943,,,,,0.02,,,,,
USC00229159,"VAN VLEET, MS US",12/5/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/6/1943,,,,,0.25,,,,,
USC00229159,"VAN VLEET, MS US",12/7/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/8/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/9/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/10/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/11/1943,,,,,0.27,,,,,
USC00229159,"VAN VLEET, MS US",12/12/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/13/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/14/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/15/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/16/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/17/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/18/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/19/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/20/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/21/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/22/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/23/1943,,,,,0.07,,,,,
USC00229159,"VAN VLEET, MS US",12/24/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/25/1943,,,,,1.4,,,,,
USC00229159,"VAN VLEET, MS US",12/26/1943,,,,,0.05,,,,,
USC00229159,"VAN VLEET, MS US",12/27/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/28/1943,,,,,0.85,,,,,
USC00229159,"VAN VLEET, MS US",12/29/1943,,,,,0.01,,,,,
USC00229159,"VAN VLEET, MS US",12/30/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",12/31/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/1/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/2/1944,,,,,0.55,,,,,
USC00229159,"VAN VLEET, MS US",1/3/1944,,,,,1.26,,,,,
USC00229159,"VAN VLEET, MS US",1/4/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/5/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/6/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/7/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/8/1944,,,,,0.22,,,,,
USC00229159,"VAN VLEET, MS US",1/9/1944,,,,,0.35,,,,,
USC00229159,"VAN VLEET, MS US",1/10/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/11/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/12/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/13/1944,,,,,0.02,,,,,
USC00229159,"VAN VLEET, MS US",1/14/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/15/1944,,,,,0.4,4,3,,,
USC00229159,"VAN VLEET, MS US",1/16/1944,,,,,0,,0,,,
USC00229159,"VAN VLEET, MS US",1/17/1944,,,,,0,,0,,,
USC00229159,"VAN VLEET, MS US",1/18/1944,,,,,0,,0,,,
USC00229159,"VAN VLEET, MS US",1/19/1944,,,,,0,,0,,,
USC00229159,"VAN VLEET, MS US",1/20/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/21/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/22/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/23/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/24/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/25/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/26/1944,,,,,0.4,,,,,
USC00229159,"VAN VLEET, MS US",1/27/1944,,,,,0.01,,,,,
USC00229159,"VAN VLEET, MS US",1/28/1944,,,,,0.05,,,,,
USC00229159,"VAN VLEET, MS US",1/29/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/30/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",1/31/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/1/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/2/1944,,,,,0.02,,,,,
USC00229159,"VAN VLEET, MS US",2/3/1944,,,,,0.82,,,,,
USC00229159,"VAN VLEET, MS US",2/4/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/5/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/6/1944,,,,,0.11,,,,,
USC00229159,"VAN VLEET, MS US",2/7/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/8/1944,,,,,0.08,,,,,
USC00229159,"VAN VLEET, MS US",2/9/1944,,,,,0.74,,,,,
USC00229159,"VAN VLEET, MS US",2/10/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/11/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/12/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/13/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/14/1944,,,,,0.42,,,,,
USC00229159,"VAN VLEET, MS US",2/15/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/16/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/17/1944,,,,,0.35,,,,,
USC00229159,"VAN VLEET, MS US",2/18/1944,,,,,0.14,,,,,
USC00229159,"VAN VLEET, MS US",2/19/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",2/20/1944,,,,,0.1,,,,,
USC00229159,"VAN VLEET, MS US",2/21/1944,,,,,0.05,,,,,
USC00229159,"VAN VLEET, MS US",2/22/1944,,,,,0.12,,,,,
USC00229159,"VAN VLEET, MS US",2/23/1944,,,,,0.32,,,,,
USC00229159,"VAN VLEET, MS US",2/24/1944,,,,,0.39,,,,,
USC00229159,"VAN VLEET, MS US",2/25/1944,,,,,0.25,,,,,
USC00229159,"VAN VLEET, MS US",2/26/1944,,,,,0.65,,,,,
USC00229159,"VAN VLEET, MS US",2/27/1944,,,,,1.7,,,,,
USC00229159,"VAN VLEET, MS US",2/28/1944,,,,,0.4,,,,,
USC00229159,"VAN VLEET, MS US",2/29/1944,,,,,0.3,,,,,
USC00229159,"VAN VLEET, MS US",3/1/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/2/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/3/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/4/1944,,,,,0.02,,,,,
USC00229159,"VAN VLEET, MS US",3/5/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/6/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/7/1944,,,,,1.59,,,,,
USC00229159,"VAN VLEET, MS US",3/8/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/9/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/10/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/11/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/12/1944,,,,,0.1,,,,,
USC00229159,"VAN VLEET, MS US",3/13/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/14/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/15/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/16/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/17/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/18/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/19/1944,,,,,1.78,,,,,
USC00229159,"VAN VLEET, MS US",3/20/1944,,,,,0.25,,,,,
USC00229159,"VAN VLEET, MS US",3/21/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/22/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/23/1944,,,,,0.2,,,,,
USC00229159,"VAN VLEET, MS US",3/24/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/25/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/26/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/27/1944,,,,,1.72,,,,,
USC00229159,"VAN VLEET, MS US",3/28/1944,,,,,2.15,,,,,
USC00229159,"VAN VLEET, MS US",3/29/1944,,,,,3.1,,,,,
USC00229159,"VAN VLEET, MS US",3/30/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",3/31/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/1/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/2/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/3/1944,,,,,0.15,,,,,
USC00229159,"VAN VLEET, MS US",4/4/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/5/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/6/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/7/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/8/1944,,,,,0.09,,,,,
USC00229159,"VAN VLEET, MS US",4/9/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/10/1944,,,,,0.4,,,,,
USC00229159,"VAN VLEET, MS US",4/11/1944,,,,,3.86,,,,,
USC00229159,"VAN VLEET, MS US",4/12/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/13/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/14/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/15/1944,,,,,0.09,,,,,
USC00229159,"VAN VLEET, MS US",4/16/1944,,,,,0.18,,,,,
USC00229159,"VAN VLEET, MS US",4/17/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/18/1944,,,,,0.12,,,,,
USC00229159,"VAN VLEET, MS US",4/19/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/20/1944,,,,,1.4,,,,,
USC00229159,"VAN VLEET, MS US",4/21/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/22/1944,,,,,0.01,,,,,
USC00229159,"VAN VLEET, MS US",4/23/1944,,,,,0.22,,,,,
USC00229159,"VAN VLEET, MS US",4/24/1944,,,,,0.11,,,,,
USC00229159,"VAN VLEET, MS US",4/25/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/26/1944,,,,,0.8,,,,,
USC00229159,"VAN VLEET, MS US",4/27/1944,,,,,0.5,,,,,
USC00229159,"VAN VLEET, MS US",4/28/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/29/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",4/30/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/1/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/2/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/3/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/4/1944,,,,,1.4,,,,,
USC00229159,"VAN VLEET, MS US",5/5/1944,,,,,2.3,,,,,
USC00229159,"VAN VLEET, MS US",5/6/1944,,,,,0.02,,,,,
USC00229159,"VAN VLEET, MS US",5/7/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/8/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/9/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/10/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/11/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/12/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/13/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/14/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/15/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/16/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/17/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/18/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/19/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/20/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/21/1944,,,,,0.45,,,,,
USC00229159,"VAN VLEET, MS US",5/22/1944,,,,,0.2,,,,,
USC00229159,"VAN VLEET, MS US",5/23/1944,,,,,0.69,,,,,
USC00229159,"VAN VLEET, MS US",5/24/1944,,,,,0.22,,,,,
USC00229159,"VAN VLEET, MS US",5/25/1944,,,,,0.55,,,,,
USC00229159,"VAN VLEET, MS US",5/26/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/27/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/28/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/29/1944,,,,,0.09,,,,,
USC00229159,"VAN VLEET, MS US",5/30/1944,,,,,0.48,,,,,
USC00229159,"VAN VLEET, MS US",5/31/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/1/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/2/1944,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/3/1944,,,,,0,,,,,
